,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022,statewide_1998_mean,statewide_2019_mean,statewide_2022_mean,perc_natl_1998,perc_natl_2019,perc_natl_2022,delta_natl_1998,delta_natl_2019,delta_natl_2022
838,10001978,TX,STATE,6.875,-2.125,12.1999998092651,6.90000009536743,6.69999980926514,12.799999999999999,7.783333333333332,8.008333333333335,-0.0494658187028015,-0.1314104854962557,-0.1894454570902527,0.0704079725304041,0.17806131985722562,-0.20612263971445266
839,10001981,TX,MULTI,6.34999990463257,-2.65000009536743,10.0,6.40000009536743,6.59999990463257,12.799999999999999,7.783333333333332,8.008333333333335,-0.230840413897535,-0.20579378720403557,-0.20392534871849127,-2.1295918367346953,-0.3219386801427744,-0.3061225443470228
840,10001984,TX,STATE,7.700000047683715,-1.299999952316285,12.8999996185303,7.5,7.80000019073486,12.799999999999999,7.783333333333332,8.008333333333335,0.008244269046832264,-0.04215053763440845,-0.03016644204292337,0.7704077817956048,0.7780612244897958,0.8938777417552668
841,10001989,TX,FEDERAL,7.912500023841858,-1.087499976158142,14.0500001907349,7.69999980926514,8.0,12.799999999999999,7.783333333333332,8.008333333333335,0.10305377192901519,-0.012397245326273733,-0.001206658786446209,1.9204083540002053,0.978061033754936,1.093877551020407
842,10001990,TX,FEDERAL,7.781249999999999,-1.2187500000000009,13.8749997615814,7.67499995231628,7.82500004768372,12.799999999999999,7.783333333333332,8.008333333333335,0.08862621067971503,-0.016116389130430592,-0.026546486397255032,1.7454079248467043,0.9530611768060755,0.9188775987041273
843,10002084,MI,STATE,5.437500059604645,-3.5624999403953552,8.10000038146973,4.95000004768372,5.09999990463257,13.391666666666667,7.316666666666667,7.499999999999999,-0.4362608698151761,-0.3520809543230798,-0.34751774430556737,-4.029591455264965,-1.771938727826484,-1.8061225443470228
844,10002088,MI,STATE,6.2375000715255755,-2.7624999284744245,12.3249998092651,5.90000009536743,6.02499997615814,13.391666666666667,7.316666666666667,7.499999999999999,-0.0879392210190575,-0.2107526739845545,-0.2135786086532242,0.1954079725304041,-0.8219386801427744,-0.8811224728214526
845,10002095,MA,STATE,6.875,-2.125,12.1000003814697,6.30000019073486,6.80000019073486,11.233333333333334,5.883333333333333,6.316666666666666,0.07145063575112628,0.06198611313146054,0.06998623723209654,-0.029591455264995403,-0.4219385847753445,-0.1061222582447332
846,10002097,MA,STATE,6.350000143051145,-2.649999856948855,10.8000001907349,5.80000019073486,6.30000019073486,11.233333333333334,5.883333333333333,6.316666666666666,-0.035725286426050724,-0.012397188576319343,-0.0024132899546646814,-1.3295916459997947,-0.9219385847753445,-0.6061222582447332
847,10002098,MA,STATE,6.350000143051145,-2.649999856948855,10.8000001907349,5.80000019073486,6.30000019073486,11.233333333333334,5.883333333333333,6.316666666666666,-0.035725286426050724,-0.012397188576319343,-0.0024132899546646814,-1.3295916459997947,-0.9219385847753445,-0.6061222582447332
848,10002101,MA,STATE,6.324999988079075,-2.6750000119209254,11.75,5.69999980926514,6.20000004768372,11.233333333333334,5.883333333333333,6.316666666666666,0.04259555256442604,-0.02727390566782979,-0.016893216105686646,-0.3795918367346953,-1.021938966245064,-0.7061224012958727
849,10002102,GA,STATE,6.8625000715255755,-2.1374999284744245,15.9000000953674,7.0,6.85000014305115,17.26666666666667,8.025,7.758333333333333,-0.11267209892094592,-0.1524857685009488,-0.13152578700894488,3.7704082586327043,0.27806122448979576,-0.056122305928442806
850,10002105,GA,STATE,8.162500083446503,-0.8374999165534973,17.5500001907349,8.34999990463257,8.10000038146973,17.26666666666667,8.025,7.758333333333333,0.02335886713105619,0.048349131922568254,0.049473065480743095,5.4204083540002035,1.628061129122366,1.1938779324901372
851,10002106,GA,STATE,8.162500083446503,-0.8374999165534973,17.5500001907349,8.34999990463257,8.10000038146973,17.26666666666667,8.025,7.758333333333333,0.02335886713105619,0.048349131922568254,0.049473065480743095,5.4204083540002035,1.628061129122366,1.1938779324901372
852,10002108,GA,STATE,7.90000009536743,-1.0999999046325701,17.9499998092651,8.34999990463257,7.80000019073486,17.26666666666667,8.025,7.758333333333333,0.05633603766690193,0.048349131922568254,0.006033321550457495,5.820407972530406,1.628061129122366,0.8938777417552668
853,10002114,GA,STATE,7.375000119209288,-1.6249998807907122,16.3999996185303,7.5,7.40000009536743,17.26666666666667,8.025,7.758333333333333,-0.07145063575112673,-0.07810246679316893,-0.05188631400806514,4.270407781795603,0.7780612244897958,0.49387764638783693
854,10002121,GA,STATE,9.474999666213987,0.4749996662139875,19.0,9.89999961853027,9.19999980926514,17.26666666666667,8.025,7.758333333333333,0.1429012086032358,0.27893732465421844,0.20875194243693426,6.870408163265305,3.1780608430200656,2.2938773602855473
855,10002126,GA,STATE,7.162499964237212,-1.8375000357627878,15.4000000953674,7.25,7.14999985694885,17.26666666666667,8.025,7.758333333333333,-0.1538936014026486,-0.11529411764705888,-0.08808611212423068,3.2704082586327043,0.5280612244897958,0.24387740796925694
856,10002129,GA,STATE,7.450000047683715,-1.549999952316285,16.5500001907349,7.35000014305115,7.64999985694885,17.26666666666667,8.025,7.758333333333333,-0.059084137832349205,-0.10041743602426918,-0.01568658493746946,4.4204083540002035,0.6280613675409459,0.7438774079692569
857,10002134,GA,STATE,7.525000035762785,-1.474999964237215,17.0499992370605,7.54999995231628,7.54999995231628,17.26666666666667,8.025,7.758333333333333,-0.017862713974429643,-0.07066414371613604,-0.03016647656570804,4.920407400325805,0.8280611768060755,0.6438775033366868
858,10002137,GA,STATE,7.206250011920931,-1.7937499880790693,17.3999996185303,7.39999997615814,7.12499988079071,17.26666666666667,8.025,7.758333333333333,0.01099236921227866,-0.0929791306815974,-0.09170608503129,5.270407781795603,0.6780612006479361,0.21887743181111663
859,10002138,GA,STATE,7.27500009536743,-1.7249999046325701,17.5,7.40000009536743,7.30000019073486,17.26666666666667,8.025,7.758333333333333,0.01923670115812771,-0.09297911294723629,-0.06636620563630373,5.370408163265305,0.6780613198572256,0.3938777417552668
860,10002141,GA,STATE,6.949999928474427,-2.050000071525573,16.1000003814697,7.19999980926514,6.80000019073486,17.26666666666667,8.025,7.758333333333333,-0.09618347434113132,-0.12273247619281409,-0.13876573282306495,3.9704085447350064,0.478061033754936,-0.1061222582447332
861,10002142,GA,STATE,7.4375,-1.5625,16.9499998092651,7.64999985694885,7.40000009536743,17.26666666666667,8.025,7.758333333333333,-0.026106967296503466,-0.05578749756206868,-0.05188631400806514,4.820407972530406,0.9280610814386456,0.49387764638783693
862,10002144,GA,STATE,7.225000023841857,-1.774999976158143,16.4499998092651,7.40000009536743,7.20000004768372,17.26666666666667,8.025,7.758333333333333,-0.06732846977820615,-0.09297911294723629,-0.08084613178732569,4.320407972530406,0.6780613198572256,0.29387759870412733
