,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022
296,10000606,AZ,STATE,12.050000190734876,3.0500001907348757,14.8999996185303,10.8000001907349,12.0
297,10000613,AZ,FEDERAL,5.824999928474428,-3.175000071525572,5.19999980926514,5.19999980926514,5.59999990463257
298,10000615,AZ,STATE,7.183333396911619,-1.8166666030883807,8.69999980926514,6.20000012715658,6.73333342870076
299,10000618,AZ,STATE,7.225000023841857,-1.774999976158143,9.30000019073486,6.30000019073486,6.69999980926514
300,10000619,AZ,MULTI,7.149999976158143,-1.850000023841857,9.5,6.19999980926514,6.69999980926514
301,10000622,AZ,STATE,7.312500059604647,-1.6874999403953526,10.75,6.45000004768372,7.75
302,10000624,AZ,FEDERAL,5.42500001192093,-3.57499998807907,5.85000014305115,4.65000009536743,5.35000014305115
303,10000626,AZ,STATE,5.299999952316284,-3.700000047683716,5.69999980926514,4.40000009536743,5.09999990463257
304,10000627,AZ,FEDERAL,5.087499976158142,-3.912500023841858,5.80000019073486,4.25,5.09999990463257
305,10000628,AZ,STATE,4.850000023841858,-4.149999976158142,5.5,4.09999990463257,4.80000019073486
306,10000632,AZ,STATE,5.056249976158142,-3.943750023841858,5.35000002384186,4.52499997615814,4.75
307,10000633,IL,FEDERAL,8.400000035762787,-0.5999999642372131,15.5499997138977,8.34999990463257,7.95000004768372
308,10000635,IL,STATE,9.100000143051151,0.10000014305115101,18.7999992370605,9.10000038146973,8.60000038146973
309,10000636,IL,STATE,9.125,0.125,18.7999992370605,9.0,8.69999980926514
310,10000638,IL,STATE,8.774999856948853,-0.22500014305114746,16.6000003814697,8.5,8.5
311,10000642,IL,STATE,7.69166664282481,-1.30833335717519,14.233333269755,7.53333330154419,7.06666660308838
312,10000644,IL,STATE,8.71250021457672,-0.2874997854232806,16.0500001907349,8.65000009536743,8.30000019073486
313,10000646,IL,STATE,9.612499952316293,0.6124999523162931,17.5,9.30000019073486,9.34999990463257
314,10000647,IL,STATE,9.76250004768371,0.7625000476837105,17.7000007629395,9.60000038146973,9.44999980926514
315,10000652,IL,STATE,7.600000023841857,-1.399999976158143,14.8999996185303,7.40000009536743,7.19999980926514
316,10000653,IL,STATE,8.09999990463257,-0.9000000953674299,15.0999999046326,7.95000004768372,7.85000014305115
317,10000655,IL,STATE,7.874999940395358,-1.125000059604642,15.5999999046326,7.59999990463257,7.70000004768372
318,10000657,IL,STATE,8.47499990463257,-0.5250000953674299,15.8000001907349,8.30000019073486,8.19999980926514
319,10000658,IL,FEDERAL,8.150000095367433,-0.8499999046325666,15.25,7.95000004768372,7.95000004768372
320,10000659,IL,FEDERAL,8.212500035762787,-0.7874999642372131,15.75,8.0,8.05000019073486
321,10000660,IL,STATE,8.300000190734865,-0.6999998092651349,14.8999996185303,8.0,8.10000038146973
